especie	corrida	temp	PEL	veloc	acel	sexo	CRC	CC	BC
A_ameiva	2	17.8	01459	6.35E-01	2.29E+00	F	55	117	117
A_ameiva	2	17.8	01459	2.33E-01	2.97E+00	F	55	117	117
A_ameiva	2	17.8	01459	1.73E-02	1.23E+00	F	55	117	117
A_ameiva	2	17.8	01459	8.30E-02	2.45E-01	F	55	117	117
A_ameiva	2	17.8	01459	6.75E-02	1.14E+00	F	55	117	117
A_ameiva	2	17.8	01459	2.16E-01	1.01E+00	F	55	117	117
A_ameiva	2	17.8	01459	2.90E-01	8.69E-01	F	55	117	117
A_ameiva	2	17.8	01459	3.33E-01	5.16E-01	F	55	117	117
A_ameiva	2	17.8	01459	2.95E-01	7.28E-01	F	55	117	117
A_ameiva	2	17.8	01459	1.45E-01	9.20E-01	F	55	117	117
A_ameiva	2	17.8	01459	1.49E-01	6.12E-01	F	55	117	117
A_ameiva	2	17.8	01459	1.07E-01	6.47E-01	F	55	117	117
A_ameiva	2	17.8	01459	2.23E-01	1.59E+00	F	55	117	117
A_ameiva	2	17.8	01459	4.53E-01	1.50E+00	F	55	117	117
A_ameiva	2	17.8	01459	5.20E-01	5.05E-01	F	55	117	117
A_ameiva	2	17.8	01459	3.59E-01	1.40E+00	F	55	117	117
A_ameiva	2	17.8	01459	2.13E-01	1.33E+00	F	55	117	117
A_ameiva	2	17.8	01459	1.28E-01	8.11E-01	F	55	117	117
A_ameiva	2	17.8	01459	4.27E-02	6.45E-01	F	55	117	117
A_ameiva	2	17.8	01459	2.20E-01	2.25E+00	F	55	117	117
A_ameiva	2	17.8	01459	5.24E-01	1.72E+00	F	55	117	117
A_ameiva	2	17.8	01459	5.77E-01	9.41E-01	F	55	117	117
A_ameiva	2	17.8	01459	3.28E-01	2.00E+00	F	55	117	117
A_ameiva	2	17.8	01459	1.56E-01	9.74E-01	F	55	117	117
A_ameiva	2	17.8	01459	1.58E-01	2.69E-01	F	55	117	117
A_ameiva	2	17.8	01459	1.70E-01	3.83E-01	F	55	117	117
A_ameiva	2	17.8	01459	1.30E-01	4.47E-01	F	55	117	117
A_ameiva	2	17.8	01459	2.13E-01	NA	F	55	117	117
A_ameiva	2	17.8	01459	NA	NA	F	55	117	117
A_ameiva	1	32	01459	NA	NA	F	55	117	117
A_ameiva	1	32	01459	1.77E+00	NA	F	55	117	117
A_ameiva	1	32	01459	1.60E+00	8.32E+00	F	55	117	117
A_ameiva	1	32	01459	1.32E+00	9.05E+00	F	55	117	117
A_ameiva	1	32	01459	9.07E-01	8.66E+00	F	55	117	117
A_ameiva	1	32	01459	7.77E-01	5.23E+00	F	55	117	117
A_ameiva	1	32	01459	6.02E-01	4.45E+00	F	55	117	117
A_ameiva	1	32	01459	4.56E-01	3.07E+00	F	55	117	117
A_ameiva	1	32	01459	4.55E-01	4.07E+00	F	55	117	117
A_ameiva	1	32	01459	2.39E-01	6.66E+00	F	55	117	117
A_ameiva	1	32	01459	5.18E-02	4.37E+00	F	55	117	117
A_ameiva	1	32	01459	5.79E-02	1.57E+00	F	55	117	117
A_ameiva	1	32	01459	8.68E-02	7.99E+00	F	55	117	117
A_ameiva	1	32	01459	4.53E-01	1.57E+01	F	55	117	117
A_ameiva	1	32	01459	1.16E+00	1.97E+01	F	55	117	117
A_ameiva	1	32	01459	1.78E+00	9.03E+00	F	55	117	117
A_ameiva	1	32	01459	1.82E+00	4.57E+00	F	55	117	117
A_ameiva	1	32	01459	1.84E+00	2.68E+00	F	55	117	117
A_ameiva	1	32	01459	2.01E+00	6.12E+00	F	55	117	117
A_ameiva	1	32	01459	2.05E+00	5.66E+00	F	55	117	117
A_ameiva	1	32	01459	1.93E+00	5.82E+00	F	55	117	117
A_ameiva	1	32	01459	1.71E+00	5.16E+00	F	55	117	117
A_ameiva	1	32	01459	1.81E+00	2.67E+00	F	55	117	117
A_ameiva	1	32	01459	1.89E+00	3.09E+00	F	55	117	117
A_ameiva	2	32	01459	NA	NA	F	55	117	117
A_ameiva	2	32	01459	9.24E-01	NA	F	55	117	117
A_ameiva	2	32	01459	1.23E+00	2.03E+01	F	55	117	117
A_ameiva	2	32	01459	2.17E+00	1.86E+01	F	55	117	117
A_ameiva	2	32	01459	2.57E+00	6.95E+00	F	55	117	117
A_ameiva	2	32	01459	2.34E+00	4.41E+00	F	55	117	117
A_ameiva	2	32	01459	2.40E+00	7.29E+00	F	55	117	117
A_ameiva	2	32	01459	2.49E+00	4.99E+00	F	55	117	117
A_ameiva	2	32	01459	2.52E+00	5.48E+00	F	55	117	117
A_ameiva	2	32	01459	2.22E+00	8.76E+00	F	55	117	117
A_ameiva	2	32	01459	2.05E+00	3.87E+00	F	55	117	117
A_ameiva	2	32	01459	2.00E+00	3.66E+00	F	55	117	117
A_ameiva	2	32	01459	2.05E+00	2.02E+00	F	55	117	117
A_ameiva	2	32	01459	1.95E+00	5.85E+00	F	55	117	117
A_ameiva	2	32	01459	1.70E+00	NA	F	55	117	117
A_ameiva	1	27	01497	NA	NA	I	53	112	112
A_ameiva	1	27	01497	1.66E+00	NA	I	53	112	112
A_ameiva	1	27	01497	1.42E+00	2.94E+00	I	53	112	112
A_ameiva	1	27	01497	1.41E+00	1.01E+01	I	53	112	112
A_ameiva	1	27	01497	1.23E+00	8.17E+00	I	53	112	112
A_ameiva	1	27	01497	8.50E-01	1.03E+01	I	53	112	112
A_ameiva	1	27	01497	6.16E-01	1.02E+01	I	53	112	112
A_ameiva	1	27	01497	1.89E-01	8.98E+00	I	53	112	112
A_ameiva	1	27	01497	5.98E-02	3.44E+00	I	53	112	112
A_ameiva	1	27	01497	0.00E+00	9.17E-01	I	53	112	112
A_ameiva	1	27	01497	2.67E-02	2.48E+00	I	53	112	112
A_ameiva	1	27	01497	1.33E-01	1.54E+00	I	53	112	112
A_ameiva	1	27	01497	1.56E-01	9.72E-01	I	53	112	112
A_ameiva	1	27	01497	0.00E+00	2.68E+00	I	53	112	112
A_ameiva	1	27	01497	0.00E+00	0.00E+00	I	53	112	112
A_ameiva	1	27	01497	0.00E+00	0.00E+00	I	53	112	112
A_ameiva	1	27	01497	0.00E+00	0.00E+00	I	53	112	112
A_ameiva	1	27	01497	0.00E+00	1.89E+00	I	53	112	112
A_ameiva	1	27	01497	1.10E-01	9.46E-01	I	53	112	112
