"mean"	"sd"	"2.5%"	"25%"	"50%"	"75%"	"97.5%"	"Rhat"	"n.eff"	"overlap0"	"f"
"phiJS[1]"	0.730942650005244	0.0943577711092221	0.527543684168214	0.676906426199245	0.730117551345939	0.791749312200475	0.912171583746779	1.00004876320615	100006	0	1
"phiJS[2]"	0.712177051871544	0.0939513348038355	0.499568709395268	0.661858813510793	0.716103190677627	0.77141923731027	0.887423587256134	1.00005354815172	99137	0	1
"phiJS[3]"	0.767634666730708	0.0833444028408465	0.607126341633227	0.710372407011955	0.762621015044872	0.825385152239761	0.932029996595978	1.00023288023443	11967	0	1
"phiJS[4]"	0.779523647516694	0.0740138839181417	0.644271788515102	0.725489106563386	0.775378073191445	0.831499324482554	0.927270143054409	1.00014383607794	43896	0	1
"phiJS[5]"	0.746261828692647	0.0766131649020611	0.591408413235994	0.698092012884526	0.743190448963123	0.796069089620625	0.900681644221214	1.00012703041344	111527	0	1
"phiJS[6]"	0.716851853609986	0.0906495046429965	0.514747602749003	0.666392916654471	0.72086855650902	0.774378804990201	0.887386486129825	1.00012710122403	50373	0	1
"phiJS[7]"	0.765713921839959	0.0809711122930667	0.603539560007083	0.712997494803372	0.762790859418099	0.820324301637773	0.924646041805048	1.00018454166504	18700	0	1
"phiJS[8]"	0.779032214386202	0.0806519895937471	0.622581146653194	0.723548726728254	0.776376083282499	0.835380446738893	0.935184410154887	1.0002051776597	20142	0	1
"phiJS[9]"	0.75896620345976	0.0830774283535978	0.590944121167892	0.705845536845368	0.755020020122841	0.814967096312203	0.922347933787204	1.00018061192651	18226	0	1
"phiJS[10]"	0.732778352285655	0.0904718679404242	0.535528013229096	0.682467901301837	0.731852601883805	0.790237787478091	0.907830486758743	1.00017758846565	57196	0	1
"phiJS[11]"	0.700049495743738	0.102782252629423	0.454162846256461	0.649615429431637	0.70965906812434	0.763674625783915	0.881647629064223	1.00020170044155	35730	0	1
"phiJS[12]"	0.771172461374369	0.0803773734436411	0.619225238387375	0.71507818830869	0.766312212678033	0.827268907408381	0.929809877062494	1.00022573401153	13038	0	1
"phiJS[13]"	0.791536107981705	0.0783802674274066	0.650792136310851	0.731986460895106	0.788393963785424	0.849038246880408	0.942371568629011	1.00021259137145	22284	0	1
"phiJS[14]"	0.749416119718494	0.0811447067581973	0.589857185081184	0.696896815547172	0.744419395955097	0.803057485945471	0.913607185537386	1.00014178151057	27887	0	1
"phiJS[15]"	0.707868759966964	0.0879178590346784	0.519059393559671	0.657988228485409	0.7098442725981	0.761474758790443	0.882086642191965	1.00013992178964	24127	0	1
"phiJS[16]"	0.646179448627216	0.092981600504987	0.44088008416776	0.587726387715636	0.65875957116187	0.711439795943797	0.806429640546265	1.00010816353456	35732	0	1
"phiJS[17]"	0.684544804956077	0.0869292130881949	0.495208584927104	0.633259700422818	0.692006128027846	0.738723296818446	0.849696916401916	1.00020731899077	17273	0	1
"phiJS[18]"	0.730615609586967	0.0849637734990855	0.551801965326514	0.680998505106107	0.72957242888696	0.78415099563734	0.898719783241813	1.00009490907147	93132	0	1
"phiJS[19]"	0.737641246727635	0.0870623651453296	0.552953514251573	0.68638495612243	0.736870349207549	0.793017680859679	0.908907755433625	1.00008368075849	27696	0	1
"phiJS[20]"	0.744267957679224	0.0912507616205889	0.548871227981682	0.690090898071575	0.744460878951337	0.804138476511017	0.917872082725681	1.00006124401639	56649	0	1
"phiJS[21]"	0.726092621748567	0.0942461709691121	0.51704494716733	0.674784931987144	0.726830356451713	0.785144075146875	0.906804272121754	1.00015284459211	27210	0	1
"phiJS[22]"	0.70940756613115	0.101942918303708	0.472367146381528	0.657572559006648	0.715475545745421	0.772327380656831	0.89673971521867	1.0002848082782	38807	0	1
"phiJS[23]"	0.706141867986015	0.106885199723537	0.452412802939916	0.653210091409484	0.713919775134456	0.771488729622655	0.899645951391033	1.00016971983543	79035	0	1
"phiJS[24]"	0.726453543651557	0.0958998655435825	0.519027332784473	0.672588821208388	0.725644515317228	0.786987966809033	0.911835775425615	1.0002277265432	17733	0	1
"phiJS[25]"	0.69486655119228	0.101382436683897	0.467279999341551	0.639879111994204	0.701150230864061	0.755563180054016	0.89014492925955	1.00024085828964	26561	0	1
"phiJS[26]"	0.590036482264834	0.13202643891688	0.297553670277722	0.50257079616929	0.61467882059988	0.691608966871921	0.792640147305167	1.0004092970722	7455	0	1
"phiJS[27]"	0.703498286995457	0.100885529097494	0.481424190554978	0.64784323743988	0.706679674773635	0.764396976483767	0.90108137439954	1.00043986036084	5547	0	1
"phiJS[28]"	0.720553007890584	0.087471191857312	0.535981716732532	0.670057890606577	0.719526599242253	0.774739592081998	0.894888061301653	1.00008817801784	70893	0	1
"phiJS[29]"	0.731139373088442	0.081384406784172	0.562528541617782	0.682404628967253	0.729032082412407	0.782916787699016	0.893751740596488	1.00011673703238	75570	0	1
"phiJS[30]"	0.773924836029144	0.0801956371070785	0.622922585598593	0.71745075765593	0.769440289830574	0.829920475646581	0.93268147247397	1.00015399831871	29165	0	1
"phiJS[31]"	0.712373791362138	0.0956671823511023	0.498422193297673	0.65975798175834	0.717524545711378	0.772423841765414	0.892220202866622	1.00010909094969	61624	0	1
"phiJS[32]"	0.738312156070655	0.093192080232573	0.537369690033496	0.68380104354774	0.738566863734813	0.798960048235978	0.91656619196831	1.00009031480845	102633	0	1
"phiJS[33]"	0.664490026090538	0.124968827690957	0.358018962852812	0.600074521982614	0.687151580367773	0.745658748379209	0.867432607306602	1.00024975737953	87889	0	1
